THROUGHPUT,Mpps,,,,,,,D-TLB MISSES,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Percentange Packets Affected,20,40,60,80,100,,,Percentange Packets Affected,20%,40%,60%,80%,100%,,,,,,
No Malform,63.99916667,63.60666667,63.59,63.5625,63.50166667,,,No Malform,0.713051972,0.7100966189,0.7109927858,0.7109926919,0.7108846582,,,,,,
Bad IP Checksum,63.46916667,63.485,63.4625,63.37333333,63.47583333,,,Bad IP Checksum,0.7107682168,0.7110976641,0.7108507464,0.7106745373,0.7103611122,,,,,,
Wrong IP Length,45.365,36.40833333,31.65916667,29.74,27.98833333,,,Wrong IP Length,0.8540297213,0.9175158012,0.9779384878,1.064388795,1.145915344,,,,,,
Wrong UDP Length,63.24833333,63.38,63.53916667,63.60916667,63.55166667,,,Wrong UDP Length,0.7094981943,0.7092059858,0.7117252628,0.7107806336,0.7109205482,,,,,,
False Jumbo Claim,25.88416667,15.78083333,12.2075,9.968333333,8.569166667,,,False Jumbo Claim,1.264528848,1.33492564,1.409880772,1.495056378,1.551467186,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,124263405,33233295,71676133,32986002,19266068,,,,,,,,,,,,,,
,42065595,60827854,64105172,38528356,46597883,,,,,,,,,,,,,,
,5029869661,7800211820,10403104576,12175830816,13339949961,,,,,,,,,,,,,,
,45085870,57948847,72313391,38598568,22598041,,,,,,,,,,,,,,
,3823938090,5100625742,5034418840,4649080198,4196082584,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CACHE MISSES,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Percentange Packets Affected,20%,40%,60%,80%,100%,,,,,,,,,,,,,,
No Malform,124.263405,33.233295,71.676133,32.986002,19.266068,,,,,,,,,,,,,,
Bad IP Checksum,42.065595,60.827854,64.105172,38.528356,46.597883,,,,,,,,,,,,,,
Wrong IP Length,5029.869661,7800.21182,10403.10458,12175.83082,13339.94996,,,,,,,,,,,,,,
Wrong UDP Length,45.08587,57.948847,72.313391,38.598568,22.598041,,,,,,,,,,,,,,
False Jumbo Claim,3823.93809,5100.625742,5034.41884,4649.080198,4196.082584,,,,,,,,,,,,,,
,,,,,,,,LATENCY,Nanoseconds,,,,,,`,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,Percentange Packets Affected,20,40,60,80,100,,,,,,
,,,,,,,,No Malform,9.921666667,9.988333333,9.993333333,10.00583333,10.00916667,,,,,,
,,,,,,,,Bad IP Checksum,10.0125,10.01666667,10.02333333,10.045,10.015,,,,,,
,,,,,,,,Wrong IP Length,10.33,10.27583333,10.32,10.15833333,10.20083333,,,,,,
,,,,,,,,Wrong UDP Length,10.06666667,10.02166667,10.0225,9.998333333,10.02416667,,,,,,
,,,,,,,,False Jumbo Claim,10.57,11.45,11.36166667,11.3575,11.28416667,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
